GraduateStudent,1,stark@gmail.com,Arya,Stark,18,MATH,3.98
GraduateStudent,2,davos@gmail.com,Davos,Seaworth,43,MATH,3.41
GraduateStudent,3,joffrey@king.gov,Joffrey,Baratheon,19,ART,3.98
UndergradStudent,4,stark@gmail.com,Arya,Stark,18,ART
GraduateStudent,5,greyjoy@gmail.com,Theon,Greyjoy,18,MATH,3.43
GraduateStudent,6,lannister@gmail.com,Tyrion,Lannister,24,ECONOMICS,3.79
GraduateStudent,7,stark@gmail.com,Sansa,Stark,18,MATH,2.43
UndergradStudent,8,davos@gmail.com,Davos,Seaworth,43,MATH
UndergradStudent,9,joffrey@king.gov,Joffrey,Baratheon,19,ART
UndergradStudent,10,stark@gmail.com,Rob,Stark,20,ART
UndergradStudent,11,stark@gmail.com,Sansa,Stark,18,MATH
UndergradStudent,12,lannister@gmail.com,Rob,Lannister,37,ART
UndergradStudent,13,lannister@gmail.com,Cersei,Lannister,37,ECONOMICS
UndergradStudent,14,stark@gmail.com,Rob,Stark,20,MATH
UndergradStudent,15,stark@gmail.com,Rob,Stark,20,MATH
UndergradStudent,16,stark@gmail.com,Rob,Stark,20,ART
